P(topic 1),P(topic 2),P(topic 3)
0.056195777,0.88769656,0.056107726
0.12412399,0.75173515,0.12414087
0.09158139,0.8168382,0.091580406
0.051857844,0.8962755,0.051866625
0.107062906,0.7858761,0.10706103
0.049455456,0.9010994,0.049445193
0.049476013,0.901087,0.049437057
0.05569368,0.8886486,0.055657636
0.08152341,0.83697337,0.081503235
0.063764244,0.87247884,0.06375691
0.0922521,0.8154971,0.09225084
0.055852894,0.887295,0.056852076
0.060613036,0.87878793,0.06059902
0.069372594,0.8612509,0.06937657
0.091658115,0.81670195,0.091639884
0.05219121,0.8956933,0.05211548
0.049103092,0.9018286,0.049068317
0.055822052,0.8884329,0.055745073
0.10539587,0.7892089,0.10539525
0.09840396,0.80351806,0.09807799
0.086041436,0.8279213,0.08603728
0.10863308,0.7827378,0.10862913
0.05743269,0.88519424,0.057373032
0.055643227,0.8884245,0.055932272
0.09874688,0.80251133,0.09874179
0.09613733,0.80779356,0.09606918
0.09657489,0.80684614,0.09657896
0.07867085,0.84218156,0.07914752
0.098595716,0.8028956,0.098508716
0.11366483,0.77273756,0.11359755
0.05283018,0.89387584,0.053294044
0.07789435,0.84420794,0.077897705
0.05404268,0.8918811,0.05407623
0.10262322,0.7947564,0.10262037
0.047864344,0.9042715,0.04786416
0.1006361,0.7987367,0.10062718
0.050645605,0.89871377,0.050640576
0.05517318,0.8898311,0.05499572
0.09045933,0.8190746,0.09046605
0.078962244,0.8420756,0.078962184
0.07516261,0.8496857,0.075151704
0.0782154,0.84357184,0.07821277
0.104386285,0.791299,0.10431472
